,,2008,2009,
PC,Suburbs,L/hh/day,L/hh/day,% Difference
3000,Melbourne Cbd,308,282,-8%
3002,"East Melbourne, Jolimont",327,305,-7%
3004,Melbourne,290,278,-4%
3006,Southbank,271,262,-3%
3011,"Coode Island, Footscray, Footscray West, Seddon",412,393,-5%
3012,"Kingsville South (Hobsons Bay), Kingsville, Maidstone, Tottenham",395,377,-5%
3013,Yarraville,385,366,-5%
3015,"Newport, Newport Lakes, Spotswood, Kingsville South (Maribyrnong)",403,373,-7%
3016,"Williamstown, Williamstown North",432,402,-7%
3018,"Altona, Seaholme",404,373,-8%
3019,Braybrook,468,433,-7%
3020,"Albion, Sunshine, Sunshine North, Sunshine West",456,432,-5%
3021,"Albanvale, Kealba, Kings Park, St Albans",494,458,-7%
3022,Ardeer,438,403,-8%
3023,"Cairnlea, Deer Park, Burnside, Caroline Springs, Ravenhall",469,455,-3%
3024,"Mount Cottrell, Wyndham Vale",456,432,-5%
3025,"Altona North, Brooklyn",471,433,-8%
3028,"Altona Meadows, Laverton, Western Gardens, Laverton South, Seabrook",467,441,-6%
3029,"Hoppers Crossing, Tarneit, Truganina",495,473,-4%
3030,"Derrimut, Point Cook, Sanctuary Lakes, Werribee, Werribee South",474,450,-5%
3031,"Kensington (Melbourne), Flemington, Newmarket",362,345,-5%
3032,"Ascot Vale, Travancore, Maribyrnong",442,416,-6%
3033,Keilor East,480,443,-8%
3034,Avondale Heights,503,463,-8%
3036,Keilor,590,539,-9%
3037,"Delahey, Keilor North, Sydenham, Hillside, Taylors Hill",535,509,-5%
3038,"Keilor Downs, Keilor Lodge, Taylors Lakes",593,552,-7%
3039,Moonee Ponds,423,395,-7%
3040,"Essendon,  Essendon West",451,426,-6%
3041,"Essendon North, Strathmore, Strathmore Heights",468,445,-5%
3042,"Aberfeldie, Airport West, Keilor Park, Niddrie",443,410,-8%
3044,Pascoe Vale,410,393,-4%
3046,Glenroy,428,414,-3%
3047,Broadmeadows,524,508,-3%
3048,Coolaroo,557,535,-4%
3049,Attwood / Westmeadows,528,498,-6%
3051,"Melbourne North, North Melbourne (Moonee Valley)",433,392,-9%
3052,Parkville,422,393,-7%
3053,Carlton,339,329,-3%
3054,"Princes Hill, Carlton North",384,367,-4%
3055,Brunswick West,358,356,-1%
3056,Brunswick,362,352,-3%
3057,Brunswick East,359,344,-4%
3058,Coburg,422,408,-3%
3059,Greenvale,677,652,-4%
3060,Fawkner,473,460,-3%
3061,Campbellfield,544,528,-3%
3064,Craigieburn / Roxburgh Park / Mickelham,499,482,-3%
3065,Fitzroy,365,345,-6%
3066,Collingwood,427,373,-13%
3067,Abbotsford,356,347,-3%
3068,"Clifton Hill, Fitzroy North",370,346,-7%
3070,Northcote / Croxton,382,366,-4%
3071,Thornbury,367,354,-3%
3072,Preston / Northland Centre,416,401,-3%
3073,Reservoir / Keon Park,436,413,-5%
3074,Thomastown,523,491,-6%
3075,Lalor,513,483,-6%
3076,Epping,528,493,-7%
3078,Alphington / Fairfield,365,341,-6%
3079,Ivanhoe,453,426,-6%
3081,Heidelberg West,410,400,-2%
3082,Mill Park,530,498,-6%
3083,Bundoora,461,440,-5%
3084,Banyule / Heidelberg / Rosanna / Viewbank,436,413,-5%
3085,Macleod,411,389,-5%
3087,Watsonia,404,385,-5%
3088,Greensborough,444,422,-5%
3089,Diamond Creek,511,489,-4%
3093,Lower Plenty,559,517,-8%
3094,Montmorency,405,384,-5%
